,IBU,ABV,Description,type,SRM
400,30,5.8,"One deceptively spring like winter day, Brewmaster Dan walked home from the brewery, sat down to dinner and said, ""Boy, there are some fat squirrels out there. They're running all over the place. I think I should brew a Fat Squirrel Nut Brown Ale."" Deb agreed and so another beer legend was born.

100% Wisconsin malt of six different varieties impart the natural toasted color to this bottle conditioned unfiltered ale. Clean hazelnut notes result from these carefully chosen barley malts. Hops from Slovenia, Bavaria and the Pacific Northwest give Fat Squirrel its backbone. When the going gets tough, remember to relax a moment and enjoy the ""Fat Squirrel"" in your neighborhood",5,20
905,30,6.5,Brown Ale - American,5,13
906,40,9.0,Brown Ale - American,5,20
907,18,6.31,"Brown Ale enriched with Toasted Coconut, Palm Sugar and ",5,20
908,45,5.5,Brown Ale - American,5,20
909,29,5.5,Brown Ale - American,5,15
910,37,5.2,Brown Ale - American,5,16
911,25,5.5,Brown Ale - American,5,22
912,25,4.5,Brown Ale - American,5,18
913,34,5.7,Brown Ale - American,5,17
914,23,8.4,Brown ale with a LOT ,5,14
915,23,4.9,An American Brown Ale embellished with a roasted hazelnut character and bittered using US Perle hops. A wide array of specialty malts commingles to create a complex finish. Read Less,5,18
916,45,6.7,Brown Ale - American,5,18
917,33,7.0,Oak Cliff Coffee Ale with Biscotti a,5,19
918,33,11.4,"Loaded with unique, robust flavors, this Brown Sugar Imperial Ale was handcrafted and aged in Caribbean rum barrels for twelve months. Hints of Molasses, rum, tobacco, and coconut round this dark nectar into a delicious, drinkable Imperial Ale that pairs well with plundering, pillaging and pretty much anything else pirates are known for. Cheers! Read Less",5,13
919,19,7.9,Brown Ale - American,5,18
920,45,12.3,Brown Ale - Belgian,5,17
921,32,7.8,Brown Ale - Belgian,5,17
922,15,8.4,Brown Ale - Belgian,5,20
923,24,6.3,Bourbon Barrel Aged Brugge,5,12
924,33,9.5,Brown Ale - Belgian,5,22
925,11,9.0,Brown Ale - Belgian,5,15
926,20,6.0,Brown Ale - Belgian,5,20
927,33,9.5,Brown Ale - Belgian,5,21
928,26,8.0,Brown Ale - Belgian,5,14
929,11,6.1,"Dark, nutty Belgian Brown brewed with College Street Brewi",5,15
930,36,8.0,Brown Ale - Belgian,5,18
931,33,9.5,"Don't be fooled by this innocent beast. Handcrafted by the Bear Republic Brewing Team, this Belgian Brown incorporates a trifecta of sugars including our house made candi syrup. Wild and untamed, this full bodied beer starts out sweet and finished with notes of cloves and nutmeg. Enjoy in moderation and tread lightly! Read Less",5,18
932,31,6.7,Brown ale with Coffee and coconut. 95% NY ,5,21
933,76,8.9,Dark chocolate with apple esters and a roa,5,20
934,45,8.5,Brown Ale - Belgian,5,18
935,19,5.4,Brown Ale - Belgian,5,21
936,22,5.3,A true to style Belgian Ale with Weyerman Malt and caramel,5,20
937,35,5.9,Brown Ale - Belgian,5,17
938,24,8.5,Brown Ale - Belgian,5,21
939,23,4.2,Brown Ale - Belgian,5,20
940,18,7.1,Belgian-style brown ale conditioned on el,5,12
941,25,5.5,Brown Ale - English,5,20
942,15,5.5,"Chocolatey, roasty with a not-so-subtle hint ",5,16
943,25,5.5,Brown Ale - English,5,19
944,25,5.5,Brown Ale - English,5,12
945,31,6.3,Brown Ale - English,5,19
946,22,5.5,Brown Ale - English,5,21
947,32,6.3,Butter pecan brown ale. English brown style with pecan and but,5,15
948,15,9.0,Brown Ale - English,5,18
949,25,5.5,Brown Ale - English,5,21
950,25,5.5,Brown Ale - English,5,13
951,25,5.5,Brown Ale - English,5,12
952,38,9.0,Strong English brown ale aged in whis,5,18
953,35,6.5,Brown Ale - English,5,13
954,45,8.0,Brown Ale - English,5,17
955,24,5.0,English Brown Porter conditioned on Owly Blend coffee and van,5,20
956,22,4.1,Birra del Borgo's Castagnale aged in Grenache and Petit Verdot red wi,5,19
957,33,7.1,Brown Ale - English,5,22
958,35,7.0,Brown Ale - English,5,15
959,24,8.2,Brown Ale - English,5,18
960,12,7.3,Brewed with Columbian coffee beans and donuts from a loca,5,22
961,30,5.9,Brown Ale - English,5,16
962,25,5.5,Brown Ale - English,5,12
963,18,6.0,Hazelnut,5,14
964,42,5.1,Brown Ale - English,5,14
965,20,4.7,Brown Ale - English,5,16
966,11,5.0,Brown Ale - English,5,16
967,17,6.0,Brown Ale - English,5,22
968,19,4.8,Brown Ale - English,5,21
969,25,5.5,English brown ale with Dark Matter co,5,12
970,20,4.7,Brown Ale - English,5,21
971,25,11.0,Brown Ale - Imperial / Double,5,21
972,35,11.6,"Firestone Walker Brewing has collaborated with Cigar City Brewing on Los LeÃ±adores, an imperial brown ale aged in high rye bourbon barrels and infused with African and Brazilian hardwood spirals.

The featured hardwoods are African Padauk and Brazilian Amburana, sourced and created specifically for Los LeÃ±adores by Richard Hobbs of The Barrel Mill in Avon, Minnesota. The Padauk provides notes of waffle cone and chocolate to the beer, while the Amburana layers in accents of cinnamon spice and vanilla. The base imperial brown ale was aged for nearly 12 months in high rye bourbon barrels acquired from Four Roses. An initial twist was the inclusion of Proximity malt in tandem with Simpson Golden Promise malt and Simpson Golden Naked oats. Read Less",5,19
973,50,12.3,Brown Ale - Imperial / Double,5,13
974,30,12.0,Heaven Hill ,5,22
975,28,13.2,"Our Imperial Brown Ale aged in retired American oak bourbon barrels. Bravo was the first strong ale brewed for our Anniversary Ale blending program over ten years ago. Balancing rich toasty and chocolate malt flavors with a gentle balance of noble hops, Bravo is brewed to showcase barrel flavors with massive bourbon barrel notes that morph as the beer warms in the glass. Read Less",5,19
976,35,9.0,Brown Ale - Imperial / Double,5,21
977,30,13.0,Brown Ale - Imperial / Double,5,14
978,22,8.8,Brown Ale - Imperial / Double,5,18
979,59,9.8,Brown Ale - Imperial / Double,5,22
980,45,13.5,Brown Ale - Imperial / Double,5,22
981,35,8.8,Brown Ale - Imperial / Double,5,22
982,45,13.5,Brown Ale - Imperial / Double,5,16
983,40,10.5,Brown Ale - Imperial / Double,5,15
984,28,12.5,Brown Ale - Imperial / Double,5,17
985,25,10.0,Brown Ale - Imperial / Double,5,14
986,28,10.0,"Double Brown Ale Brewed w/ Hazelnut, Caramel, Chocolate a",5,13
987,30,9.0,Brown Ale - Imperial / Double,5,17
988,38,10.5,Brown Ale - Imperial / Double,5,19
989,50,13.0,Brown Ale - Imperial / Double,5,20
990,13,12.5,"Born a double-mashed imperial brown ale, then matured for 13 months in freshly emptied 10-year Canadian rye whisky barrels, this sturdy ale features checkered notes of rich vanilla, charred oak, warming whisky and spicy rye. With a lingering, boozy sweetness and round, resonant flavor, Plaid Habit clearly earns its name. Read Less",5,15
991,45,13.5,Brown Ale - Other,5,15
992,35,12.0,Brown Ale - Other,5,19
993,32,6.0,Brown Ale - Other,5,18
994,40,11.4,Brown Ale - Other,5,16
995,40,6.2,Crunchy hippie with coffee and ,5,16
996,28,10.0,Brown Ale - Other,5,22
997,30,6.5,Brown Ale - Other,5,16
998,15,6.4,Brown Ale - Other,5,15
999,34,8.0,Brown Ale - Other,5,18
1000,15,5.6,"Coffee brown ale. Hazelnut, R",5,17
1001,16,5.5,Brown Ale - Other,5,13
1002,29,6.5,Brown Ale - Other,5,22
1003,19,6.1,Brown Ale - Other,5,12
1004,10,5.7,"PBJT Small Batch Specialty Variant for 2019: Strawberry-Rhubarb.

The legendary âPB&J sandwich in a glass,â Peanut Butter Jelly Time starts as a light brown ale with a touch of wheat in its malt bill, providing the bready base for the star ingredients â real fruit and whole roasted North Carolina peanuts. Read Less",5,15
1005,20,5.8,Brown Ale - Other,5,21
1006,24,5.64,"Named after 1st Brigade Combat Team out of Ft Campbell, KY this pecan nut brown is our tribute to them and their hist",5,16
1007,28,6.7,"American Brown ale with lactose, turbinado sugar and Three Bears cold b",5,19
1008,25,5.3,Peanut Butte,5,20
1009,20,6.0,Brown Ale - Other,5,17
1010,25,7.5,"Imperial Brown Ale brewed with many roasted & toasted malts, flaked oats, coffee, chocolate, m",5,22
1011,22,5.25,Brown Ale - Other,5,20
1012,18,5.7,Brown Ale - Other,5,16
1013,24,7.6,An Imperial Brown Ale with added toasted coconut aged in Richland R,5,18
1014,29,8.0,Brown Ale - Other,5,17
1015,6,10.0,Brown Ale - Other,5,17
1016,24,5.0,"Doberman brown ale treated with Chocolate, Vanilla, and Strawber",5,12
1017,10,9.0,Brown Ale - Other,5,13
1018,19,6.2,Peanut butter chocolate brown ale. Over 1/2 pound of peanut butter per gal,5,17
2,68,5.7,"First brewed to commemorate the grand opening our new facility in Canton, MA. This special pale ale signifies a collective milestone for the entire Trillium team.

A new fermentation profile lends juicier notes and a soft mouthfeel. Hazy golden in appearance with a medium body, this refreshing pale ale bursts with aromatics of mango, orange, melon, and a hoppy dankness. Featuring Mosaic/Citra in the dry hop and a crisp Pilsner malt backbone, Launch Beer exhibits graceful flavors of orange, a light lime character, hints of melon, and slight pithiness.

We raise a glass to you; the devoted community of supporters who have helped us make our dream a reality",6,6
26,26,5.0,"Not only a pitcher's best friend but also a great beer to share in a pinch with your best friends. A routine 6-4-3 provides a breath of fresh air, and like a double play, this provides that taste to get you out of any jam",6,7
30,38,5.4,"You wonÃ¢ÂÂt want to back off from this one. The volume of citra hops in Chin Music is as reckless as a heater thrown high and inside, resulting in an explosive citrus flavor that will certainly send a message",6,7
127,65,5.2,"Edward (1917-2002) is our grandfather; Hill Farmstead Brewery rests upon the land that was once home to him and his five children. In his honor, this American Pale Ale is dutifully crafted from American malted barley, a plethora of American hops, our ale yeast and water from EdwardÃ¢ÂÂs well. It is unfiltered and dry hopped. Aromatic and flowery, with impressions of citrus and pine, this is the ale that I dream to have shared with Edward. Pale and Caramel malt; Centennial, Chinook, Columbus, Simcoe, and Warrior hops; House Ale Yeast, and our Well Water",6,9
130,65,5.2,"Single hop pale ale bittered, flavored and dry-hopped exclusively with Citra hops.",6,7
138,45,5.8,This Citra hop pale ale is delicate in body with a mild bitterness in the finish. Ferocious hop aromas of citrus and mango give a refreshing taste that is bright with just enough bite,6,14
144,45,5.8,This double dry hopped pale ale showcases the Citra hop for a well balanced beer that is delicate in body with a mild bitterness in the finish. Ferocious aromas of citrus and mango give a refreshing taste that is bright with just enough bite,6,13
152,45,5.8,"Forged from the raw elements of the universe, this beerÃ¢ÂÂs hoppy flavor comes from the celestial alignment of both Galaxy and Citra hops. Galaxy dry hopped Pseudo Sue dwarfs all other pale ales",6,9
155,45,5.8,This double hop pale ale showcases the Citra and mosaic hop for a well balanced beer that is delicate in body with a mild bitterness in the finish. Ferocious hop aromas of citrus and mango give a refreshing taste that is bright with just enough bite,6,8
166,40,5.5,This lighter entry into the New Orthodox Series features a hint of pepper and earth from rye in the grain bill as well as citrus and stone fruit flavors and aroma from the all Michigan hops,6,8
198,35,5.0,"Refreshing, Lightly Tart and Hazy Hoppy Pale Ale with Bright Citrus Notes and an Herbal Bitterness.",6,5
202,50,5.0,Hop forward American style pale ale brewed with oats,6,13
213,45,4.8,"Why look. It's another member of our single-hopped beer collective. This beer is a classic, lower alcohol, American Pale Ale brewed with nothing but Galaxy hops from Australia. That gives the taster a mouthful of pineapple, guava, and other tropical flavors to enjoy while trying to figure out how we named this one. It's okay. We'll wait",6,9
222,55,5.3,"This American-styled Pale uses an abundance of the Motueka (Moe-Too-A-Kah) hops from New Zealand which gives it an earthy/grassy hint mixed with a heavy lime sense. Crisp, refreshing, easy-going. The name requires a Masters Degree to explain so, we'll just leave that alone",6,11
230,45,5.2,"Previously known as Solstice Ale. Tangerine flower in a glass, endless days distilled into nectar of barley and hops. One grain, one hop. Simplicity... yet, so much more",6,9
232,35,5.6,"Fremont is the self-proclaimed Ã¢ÂÂCenter of the UniverseÃ¢ÂÂ and Universale, our flagship product, honors the namesake of our unique location. Universale Pale Ale offers a distinctive Northwest twist on the classic pale ale, using a select blend of pale roasted malt and Old World malts balanced with classic Northwest hops to achieve a heavenly beer of rich malt flavor and hop spice. This is beer. Enjoy",6,6
236,50,6.0,"Cowiche Canyon Fresh Hop Ale is brewed from select organic hops grown in the Cowiche Canyon of the Yakima Valley which are harvested and placed into our kettle within 24 hours, creating a unique, once-a-year beer. We make Cowiche Canyon ale in partnership with hop-growing wizards from the Yakima Valley in an effort to expand the organic hop industry in Washington StateÃ¢ÂÂ¦ Because Organic Hops Matter. A portion of all sales fund the Cowiche Canyon Conservancy",6,12
242,50,6.0,Fresh Hop Pale Ale,6,6
284,30,5.5,Zesty and tropical pale ale brewed with a touch of malted rye and Citra hops.,6,9
307,60,5.2,American Pale Ale. Mosaic and Crystal hops.,6,9
323,35,5.3,"Elevate, elevate, elevateÃ¢ÂÂ¦ ItÃ¢ÂÂs what weÃ¢ÂÂve been doing for 8 years now. WeÃ¢ÂÂre really, really good at it. But weÃ¢ÂÂre looking to settle into the warmer months with something just as compelling as our world class IPAs, but less elevating. Acclimated APA. ItÃ¢ÂÂs what IPA drinkers drink when theyÃ¢ÂÂre not drinking IPA",6,8
356,45,5.9,"Deep within the arid climate of WashingtonÃ¢ÂÂs Yakima Valley grows the Mosaic Hop, a newcomer that makes its debut in our pFriem Mosaic Single Hop Pale. This strong ale glows with an amber hue. Wafts of mango and citrus tease the senses just long enough before its assertive taste takes over with hits of lemon, pine and a slight tinge of blueberry. Make no mistake; this ale has a bright and tasty future",6,10
366,32,5.4,"Did someone say Jammy? pFriem Jammy Pale is rife with aromas of marionberries, strawberry preserves, candied pineapple, and peach, and round notes of cantaloupe, blueberries, gummy bears, and lemon balm. It finishes juicy, jammy, and fruity. WeÃ¢ÂÂre JamminÃ¢ÂÂ",6,5
374,45,5.5,"Fist City is a Chicago Pale Ale that flashes with citrusy hops and crackles with a light, crisp bitterness. It's the perfect sidekick to relaxing fun, or a refreshing finish line at the end of a long day -- and always a wonderful match to any of our city's famous dishes. This local favorite emphasizes the Statue of the Republic, a gilded statue in Jackson Park built to commemorate the 1893 World's Columbian Exposition. And it's the foundation of the City Series -- classic styles for any session, proudly brewed only in Chicago",6,10
375,35,6.8,"A Belgian Pale Ale that is a Little Crazy! Pale Ale, Munich & Caramunich malts provide a nice, toasty flavor with hints of caramel. Belgian Wit yeast ferments this beer, contributing hints of spice and a slight tartness. Dry-hopped with Cascade and Citra hops to drive home the aromas of fresh citrus rind",6,13
